PA,SZ,senior_pop_2025,total_pop_2025,aging_index_2025,senior_pop_2015,senior_pop_2020,senior_growth_rate,infra_count_weighted,infra_density,dist_nearest_hospital_km,dist_nearest_poly_km,demand_supply_ratio,cluster_id,cluster_label,cluster_color
Bukit Timah,Farrer Court,1030,7720,0.133419689119171,750.0,890,0.032232660085260934,1.0,0.12165450121654503,3.105274200682729,3.9405934168052035,10.670361042247151,0,Well-Served,#1A7A3C
Bukit Timah,Hillcrest,1710,9890,0.17290192113245703,1290.0,1500,0.0285860737301602,0.0,0.0,4.218616694285986,5.671994235444178,1710.0,1,High Pressure,#C0392B
Bukit Timah,Holland Road,1870,11880,0.1574074074074074,1200.0,1580,0.04536038020638711,1.0,0.08077544426494346,3.414290779467391,2.274237701410664,28.24895774707959,0,Well-Served,#1A7A3C
Bukit Timah,Leedon Park,1420,7560,0.18783068783068782,910.0,1150,0.04550158416568606,2.0,0.2481389578163772,2.445229420242017,3.5870968927963376,7.003367666695575,0,Well-Served,#1A7A3C
Bukit Timah,Swiss Club,1070,6310,0.16957210776545167,790.0,940,0.03080298767857048,0.0,0.0,5.047402322021549,4.446273383838671,1070.0,2,Emerging Pressure,#D4A017
Bukit Timah,Ulu Pandan,2450,11460,0.21378708551483422,1650.0,2090,0.040323033089643134,0.0,0.0,2.266176391457692,2.1787090826571864,2450.0,1,High Pressure,#C0392B
Changi,Changi Point,180,410,0.43902439024390244,100.0,100,0.060540481614018704,0.0,0.0,6.533634634082236,3.3555642067167306,180.0,0,Well-Served,#1A7A3C
Changi,Changi West,20,1370,0.014598540145985401,40.0,10,-0.06696700846319259,0.0,0.0,4.301789848637261,1.8019287200253813,20.0,0,Well-Served,#1A7A3C
Choa Chu Kang,Choa Chu Kang Central,3320,21870,0.1518061271147691,1670.0,2410,0.07112994608409329,3.0,0.13410818059901652,5.763037685814311,3.647822845951602,34.24199211776586,0,Well-Served,#1A7A3C
Choa Chu Kang,Choa Chu Kang North,4790,30530,0.1568948575171962,2310.0,3350,0.07565339763343659,4.0,0.12890750886239122,6.665086063005188,4.5534841723906405,54.00188631177421,0,Well-Served,#1A7A3C
Choa Chu Kang,Keat Hong,3880,39030,0.09941070971047912,1180.0,2660,0.12640604325822813,2.0,0.05059448520111308,4.6894810780411795,2.58267171294511,98.06841645737734,0,Well-Served,#1A7A3C
Choa Chu Kang,Peng Siang,5430,33330,0.1629162916291629,2530.0,3950,0.0793640046807349,2.0,0.05911912503694946,5.222853548458096,3.183956061595143,121.8119121688783,0,Well-Served,#1A7A3C
Choa Chu Kang,Teck Whye,5310,24230,0.21914981427981842,3010.0,3960,0.058407241418382494,6.0,0.2426202992317024,5.584116469983786,3.4916280429285345,30.117504726522885,0,Well-Served,#1A7A3C
Choa Chu Kang,Yew Tee,5720,39220,0.14584395716471188,2770.0,3910,0.0752058681699952,2.0,0.050352467270896276,6.009865082405883,4.418963142944627,158.2896917500975,0,Well-Served,#1A7A3C
