name,lat,lon
Bukit Batok Zone 5 Residents' Network,1.3481494951598736,103.74265813004105
Bukit Batok Zone 6 Residents' Network,1.3466073358689892,103.7409092870541
Bukit Batok Zone 8 Residents' Network,1.3471928116818686,103.75221733481497
Bukit Batok Zone 9 Residents' Network,1.3484960750055333,103.75260774455323
Bukit Batok Zone 10 Residents' Network,1.3462848823659934,103.74600316709972
Bukit Batok Zone 11 Residents' Network,1.343693814638098,103.74735680189151
West Terra Residents' Network,1.3527673266585465,103.74301110941289
West Crest West Valley Residents' Network,1.3527225832202328,103.74124000228784
Radin Mas Community Club,1.2758064706471859,103.81984438879613
Al-Falah Mosque,1.3037754293659478,103.83665368223907
Redhill MRT Station (EW18),1.2896345342827908,103.81674097207244
Sheng Siong Supermarket,1.3803368104019327,103.76016788335514
Hillview MRT Station (DT3),1.3623448685276665,103.76741825445679
Bukit Panjang MRT Station (DT1),1.3790021167177082,103.76153511473323
NTUC FairPrice Finest,1.3799204516502797,103.76435718024139
NTUC FairPrice,1.378431007971074,103.76284278991032
St Luke's ElderCare (Bishan Active Ageing Hub),1.3453342007804998,103.85409818280644
Bishan Interchange (BSI),1.3501169417300016,103.84976318058362
Singapore Pools (Toa Payoh Lor 1),1.3412371382074784,103.84530613699205
Singapore Pools (Toa Payoh Lor 8),1.3406429366973212,103.85433449672297
Nicoll Highway MRT Station (CC5),1.2997668470242831,103.86363696548233
NTUC FairPrice,1.3193033674933679,103.86404981507621
Singapore Pools (64 Circuit Road),1.3269840446559422,103.88714843288811
Singapore Pools (88 Circuit Road),1.3235406597448007,103.88585174655742
Singapore Pools (Lor 25A Geylang),1.315494990427906,103.88325608602577
NTUC FairPrice,1.286453540131545,103.80824240006113
LeNu @ Northpoint City (Malls of Frasers Property Singapore),1.429698486025404,103.83577649129596
Sembawang Zone B Residents' Corner (RC),1.4400583708773207,103.79736938943266
Sembawang Zone C Residents' Corner (RC),1.4428802023337641,103.79888777830872
Vanguard Active Ageing Centre (AAC) (Care) @ Woodlands,1.446128811198591,103.80458946953453
Woodlands North MRT Station (TE1),1.4482924528443928,103.78569268203805
Admiralty MRT Station (NS10),1.4405885616017533,103.80099051953053
NTUC FairPrice,1.4397495181298368,103.80072071145584
Woodlands Zone 7 Residents' Network (RN),1.4354260917286408,103.79699884172169
Woodlands Zone 8 Residents' Network (RN),1.4367173784658747,103.80319251284783
Woodlands Zone 9 Residents' Network (RN),1.4369859637389648,103.7991178641864
NTUC FairPrice,1.379767543430858,103.93620756710222
Sheng Siong Supermarket,1.403719397278929,103.90613800703568
Sheng Siong Supermarket,1.377892048915883,103.85641198214836
NTUC FairPrice,1.3685820605269325,103.85598305040405
Yio Chu Kang Interchange (YCI),1.3828088333614112,103.84481756846617
Sheng Siong Supermarket,1.3915862301356774,103.87987461105601
Sheng Siong Supermarket,1.3918368826118086,103.87119037620069
Sheng Siong Supermarket,1.3977987472790714,103.88169880584344
MWS Senior Activity Centre (SAC) - Fernvale Rivergrove,1.3978597489912568,103.88123276455757
NTUC FairPrice,1.3921382857400397,103.87249055585747
NTUC FairPrice Finest,1.3913968461565445,103.87623700740012
Joo Koon Interchange (JKI),1.3256176779422837,103.67840974188147
NTUC FairPrice,1.346335524682115,103.71243037358384
SASCO @ Jurong West,1.3437548823763112,103.6964099887376
Bukit Batok East Toh Guan Park Residents' Corner (RC),1.33952465027696,103.74347663914058
PEACE-Connect AAC@8,1.3045862271435167,103.86400403345897
Geylang Bahru MRT Station (DT24),1.3213011023737817,103.87162262750833
Chong Pang Community Club (CC),1.4335289704696843,103.83014877142877
Sheng Siong Supermarket,1.420062937885424,103.84356143477804
Anglican Care Centre (Yishun),1.4289348889651174,103.82771619166319
AWWA Dementia Day Care Centre (DDCC) @ Yishun,1.43012361760851,103.8321531640028
Wellness Kampung @ 260 (Nee Soon East),1.4250235375294584,103.8339734951936
St Luke's ElderCare (Nee Soon Central Centre),1.4247023997373323,103.83394978667438
Sheng Siong Supermarket,1.4275054968518919,103.83712528500577
WeCare Concierge @ Yishun Integrated Transport Hub (YITH),1.4279028901682527,103.83617765072373
NTUC FairPrice,1.4279028901682527,103.83617765072373
Hougang MRT Station (NE14),1.371292266356432,103.8923805126214
NTUC FairPrice Finest,1.357586118072573,103.88404932245935
St Luke's ElderCare (Serangoon Centre),1.3576350479655854,103.87209077267109
NTUC FairPrice,1.3697994036352534,103.87303579038647
THK Active Ageing Centre @ Fengshan 114,1.3305052125217263,103.93581688549719
NTUC FairPrice,1.373618303654157,103.88574885613174
NTUC FairPrice Finest,1.3651149055990601,103.86515950142183
Bedok Community Club (CC),1.3242244815654234,103.93606364881718
NTUC FairPrice Finest,1.4179528850992411,103.84126883127281
Kent Ridge Terminal (KRT),1.2943169999292277,103.76980869998562
Pioneer MRT Station (EW28),1.3375870115332797,103.6973216081762
Boon Lay MRT Station (EW27),1.3386040545027467,103.70606462259629
NTUC FairPrice Xtra,1.3393150402944767,103.70535099608482
Tuas Crescent MRT Station (EW31),1.3210269558874297,103.64907823592287
Sheng Siong Supermarket,1.348784897275457,103.70341565478775
Bishan MRT Station (NS17),1.350898941734883,103.84812636288082
Bishan MRT Station (CC15),1.3513158011734896,103.84914026579507
